title,content,source,published_at,url,collected_at
"AI poses risks to national security, elections and healthcare. Here’s how to reduce them","AI risks are various and specific, and need to be understood as such, if only because AI systems are complex and adapt over time, making them more unpredictable.
And since AI tools are widely accessible, there is a low barrier to causing harm with them.
Think about the increased military relevance of drones in this conflict, many of them powered by AI tools.
As individuals, we can play a powerful role by engaging securely with AI systems and adopting safe practices.
The recent EU AI Act, the first regulation favouring responsible AI development based on the risk levels of AI systems, is an excellent example.",The Conversation Africa,2025-09-29T14:56:21Z,https://theconversation.com/ai-poses-risks-to-national-security-elections-and-healthcare-heres-how-to-reduce-them-263826,2025-09-30 23:07:19.475989
Vistra Expands Permian Basin Plant With New Gas Units,"Vistra Corp. (NYSE: VST) will add two new natural gas units at its Permian Basin Power Plant in West Texas, expanding the facility’s capacity from 325 megawatts to 1,185 megawatts.
Vistra aims to deliver more than 2,000 megawatts of new capacity between 2024 and 2028 to keep pace with demand.
Since 2020, Vistra has added about 1,000 megawatts of new capacity through upgrades and new projects.
Vistra has finished more than 400 megawatts of upgrades across its Texas gas plants.
This article Vistra Expands Permian Basin Plant With New Gas Units originally appeared on Benzinga.com© 2025 Benzinga.com.",Yahoo Entertainment,2025-09-29T14:54:24Z,https://finance.yahoo.com/news/vistra-expands-permian-basin-plant-145424326.html,2025-09-30 23:07:20.489507
"ET Market Watch: Markets snap backward, Nifty, Sensex log 7th straight loss on auto, IT & pharma pressure","TranscriptHi, you’re listening to ET Markets Radio.
It was yet another dull day on Dalal Street as the markets clocked their seventh straight loss.
Both benchmarks slipped in range-bound trade, weighed down by auto, IT, and pharma counters.
On the sectoral front, Nifty Media led the losers with a 0.85% cut, followed by Auto and Pharma.
That’s all from us at ET Market Watch.",The Times of India,2025-09-29T14:53:59Z,https://economictimes.indiatimes.com/markets/stocks/etmarkets-podcast/et-market-watch-markets-snap-backward-nifty-sensex-log-7th-straight-loss-on-auto-it-pharma-pressure/podcast/124216017.cms,2025-09-30 23:07:20.976531
Here’s Why Aris Water Solutions (ARIS) Declined in Q2,"In its second-quarter 2025 investor letter, Artisan Global Discovery Fund highlighted stocks such as Aris Water Solutions, Inc. (NYSE:ARIS).
Aris Water Solutions, Inc. (NYSE:ARIS) is an environmental infrastructure and solutions company.
The one-month return of Aris Water Solutions, Inc. (NYSE:ARIS) was 1.89%, and its shares gained 58.96% of their value over the last 52 weeks.
On September 05, 2025, Aris Water Solutions, Inc. (NYSE:ARIS) stock closed at $23.78 per share, with a market capitalization of $1.407 billion.
Artisan Global Discovery Fund stated the following regarding Aris Water Solutions, Inc. (NYSE:ARIS) in its second quarter 2025 investor letter:",Yahoo Entertainment,2025-09-29T14:53:42Z,https://finance.yahoo.com/news/why-aris-water-solutions-aris-145342551.html,2025-09-30 23:07:21.956325
Stock Market Today: Stocks rise as government shutdown threat looms,"This live blog is refreshed periodically throughout the day with the latest updates from the market.
To find the latest Stock Market Today threads, click here.
Happy Monday.
This is TheStreet's Stock Market Today for Sept. 29, 2025.
You can follow the latest updates on the market here in…This story appeared on finance.yahoo.com , 2025-09-29 14:38:30.",Biztoc.com,2025-09-29T14:53:12Z,https://biztoc.com/x/33f76931d5b4bba3,2025-09-30 23:07:22.823632
Nvidia Soars But Is It A Sell After 33% Gain? Here Is What Charts Say,"cleared its 50-day moving average on Monday, gaining more than 2% in early trade.
Is Nvidia stock a buy or sell now?
Nvidia stock touched an all-time high last week after the company said it would invest up to $100 billion in ChatGPT developer OpenAI.
Shares of the AI chipmaker, valued…This story appeared on investors.com , 2025-09-29 14:42:36.",Biztoc.com,2025-09-29T14:53:10Z,https://biztoc.com/x/d5715151714a5721,2025-09-30 23:07:23.199935
BREAKING: MoonLake Immunotherapeutics Shares Down Over 85%; Investors Should Contact Block & Leviton to Potentially Recover Losses,"BOSTON, Sept. 29, 2025 (GLOBE NEWSWIRE) -- Block & Leviton is investigating MoonLake Immunotherapeutics (Nasdaq: MLTX) for potential securities law violations.
Investors who have lost money in their MoonLake Immunotherapeutics investment should contact the firm to learn more about how they might recover those losses.
Shares of MoonLake Immunotherapeutics fell more than 85% in pre-market trading on September 29 after the company disclosed disappointing Phase 3 VELA results.
Investors should contact Block & Leviton to learn more.
Why should you contact Block & Leviton?",GlobeNewswire,2025-09-29T14:53:00Z,https://www.globenewswire.com/news-release/2025/09/29/3157915/23044/en/BREAKING-MoonLake-Immunotherapeutics-Shares-Down-Over-85-Investors-Should-Contact-Block-Leviton-to-Potentially-Recover-Losses.html,2025-09-30 23:07:24.604408
Weekly Stock Grader Analysis: Upgrades & Downgrades on Top Blue-Chip Stocks,"During these busy times, it pays to stay on top of the latest profit opportunities.
And today’s blog post should be a great place to start.
After taking a close look at the latest data on institutional buying pressure and each company’s fundamental health, I decided to revise my Stock…This story appeared on investorplace.com , 2025-09-29 14:39:58.",Biztoc.com,2025-09-29T14:52:59Z,https://biztoc.com/x/46882e1b777d5175,2025-09-30 23:07:24.996046
Here's How Much $1000 Invested In OSI Systems 5 Years Ago Would Be Worth Today,"OSI Systems (NASDAQ: OSIS) has outperformed the market over the past 5 years by 10.25% on an annualized basis producing an average annual return of 25.02%.
Currently, OSI Systems has a market capitalization of $3.98 billion.
Buying $1000 In OSIS: If an investor had bought $1000 of OSIS…This story appeared on benzinga.com , 2025-09-29 14:45:33.",Biztoc.com,2025-09-29T14:52:57Z,https://biztoc.com/x/9fc391165ed43aaf,2025-09-30 23:07:25.557336
"Strategy’s $128 million ATM haul dwarfs bitcoin buy, now holds 640,031 BTC","According to its September 29 Form 8-K, Strategy Inc. (MSTR) raised $128.1 million through its at-the-market programs between September 22–28 but deployed just $22.1 million on 196 BTC.
The bulk of proceeds are likely for preferred stock dividends which will be paid on September 30.
As of…This story appeared on finance.yahoo.com , 2025-09-29 14:16:59.",Biztoc.com,2025-09-29T14:52:47Z,https://biztoc.com/x/59a4aee3e673fd78,2025-09-30 23:07:25.984358
Big 5 Is Getting its Wish to Go Private,"Big 5 Sporting Goods Corp. will become a private company any day now.
Shareholders approved of the transaction, and now the deal is expected to be completed as soon as Tuesday.
Once the deal closes, shares of Big 5 will no longer be listed on the Nasdaq Stock Exchange.
You May Also LikeAs of Friday, the retailer operates 410 stores under the Big 5 Sporting Goods name in the western U.S.
And last month saw the completion of Caleres’ purchase of shoe brand Stuart Weitzman for $105 million.",WWD,2025-09-29T14:51:26Z,http://wwd.com/footwear-news/shoe-industry-news/big-5-shareholder-approval-worldwide-golf-take-private-1238260888/,2025-09-30 23:07:26.296771
Big 5 Is Getting its Wish to Go Private,"Big 5 Sporting Goods Corp. will become a private company any day now.
Shareholders approved of the transaction, and now the deal is expected to be completed as soon as Tuesday.
Once the deal closes, shares of Big 5 will no longer be listed on the Nasdaq Stock Exchange.
You May Also LikeAs of Friday, the retailer operates 410 stores under the Big 5 Sporting Goods name in the western U.S.
And last month saw the completion of Caleres’ purchase of shoe brand Stuart Weitzman for $105 million.",WWD,2025-09-29T14:51:26Z,https://wwd.com/footwear-news/shoe-industry-news/big-5-shareholder-approval-worldwide-golf-take-private-1238260888/,2025-09-30 23:07:26.559145
Bitcoin traders see $110K CME gap dip next as BTC price gains 1.5%,"Key points: Bitcoin bounces back with a trip to $114,000 at the Wall Street open. Traders remain wary of a retracement, especially thanks to a new weekend CME gap opening at $110,0… [+3109 chars]",Cointelegraph,2025-09-29T14:51:17Z,https://cointelegraph.com/news/bitcoin-traders-110k-cme-gap-dip-next-btc-price-gains-1-5,2025-09-30 23:07:26.642500
'The Sims' maker Electronic Arts bought for $80bn in record private equity buyout,"Electronic Arts, the company behind video games like Madden NFL, Battlefield and The Sims, is being acquired for US$52.5 billion ($80 billion), in what could become the largest-ever buyout funded by … [+4341 chars]",ABC News (AU),2025-09-29T14:50:24Z,https://www.abc.net.au/news/2025-09-30/consortium-buys-electronic-arts-for-55-billion-dollars/105832746,2025-09-30 23:07:26.719978
Fairfax Financial Holdings Limited (FRFHF) Posted Solid Premium Growth And Underwriting Performance In Q2,"Fairfax Financial Holdings Limited (OTC:FRFHF) is an insurance company that offers property and casualty insurance and reinsurance, and investment management services.
The one-month return of Fairfax Financial Holdings Limited (OTC:FRFHF) was -0.03%, and its shares gained 36.74% of their value over the last 52 weeks.
On September 26, 2025, Fairfax Financial Holdings Limited (OTC:FRFHF) stock closed at $1,720.66 per share with a market capitalization of $38.255 billion.
Baird Chautauqua International and Global Growth Fund stated the following regarding Fairfax Financial Holdings Limited (OTC:FRFHF) in its second quarter 2025 investor letter:""Fairfax Financial Holdings Limited (OTC:FRFHF) posted another quarter of solid premium growth and underwriting performance despite significant catastrophe losses related to the Los Angeles wildfires.
Fairfax Financial Holdings Limited (OTC:FRFHF) is not on our list of 30 Most Popular Stocks Among Hedge Funds.",Yahoo Entertainment,2025-09-29T14:49:47Z,https://finance.yahoo.com/news/fairfax-financial-holdings-limited-frfhf-144947948.html,2025-09-30 23:07:27.681229
Clippers' owner Ballmer donated to Aspiration CEO's charitable arm after claiming he was defrauded,"NEW: Steve Ballmer quietly donated $1.875M to charity of Aspiration co-founder who ""conned"" him — 1.5+ years after Clippers ended deal, as feds closed in.
Later, the Clippers purchased $100 million in those green credits from Aspiration as part of Ballmer’s effort to make the Clippers’ new home, the Intuit Dome, carbon neutral.
Ballmer said he was “duped” like other investors and that the Clippers ended their team sponsor relationship with Aspiration after it defaulted on its obligations.
He and the Clippers have maintained that they knew nothing about Leonard’s endorsement deal with Aspiration except that it existed.
Ballmer vehemently denied the allegation that the Clippers used Leonard’s Aspiration endorsement to circumvent the NBA salary cap.",NBCSports.com,2025-09-29T14:49:08Z,https://www.nbcsports.com/nba/news/clippers-owner-ballmer-donated-to-aspiration-ceos-charitable-arm-after-claiming-he-was-defrauded,2025-09-30 23:07:28.981035
EA stock spikes 21% on news of colossal $50 billion buyout,"lighning bolt icon An icon in the shape of a lightning bolt.
lighning bolt icon An icon in the shape of a lightning bolt.
The video game publisher confirmed the deal on Monday, announcing that it will be going private as part of a $55 billion leveraged buyout that will pay shareholders $210 per share.
The deal will mark the biggest leveraged buyout on record, surpassing record-breaking deals like the $45 billion buyout of TXU Energy in 2007.
What it means: The colossal leveraged buyout prompts the question of whether LBOs are back in vogue.",Business Insider,2025-09-29T14:48:56Z,https://www.businessinsider.com/ea-stock-price-biggest-leveraged-buyout-ever-saudi-pif-kushner-2025-9,2025-09-30 23:07:29.149127
Tata Capital’s pre-IPO investors receive a price jolt,"Tata Capital’s IPO price band has been fixed in the range ₹310-326, while its unlisted shares have been trading above ₹1,000 from April 2024 to June 2025, after which it started declining a bit.
Even on September 28, Tata Capital’s shares were being quoted at over ₹700, before crashing to ₹300-odd levels.
IPO Price is one third of this price.”TrendPunting on unlisted shares of high-profile companies has gained currency over the last few years as investors expect to get them at substantial discounts to their public listing price.
Over a one-year time frame, Tata Capital’s shares have fallen 70 per cent – due to today’s crash – and 59 per cent over a one-month period.
Several platforms have sprung up for unlisted shares, and an exuberance has been created.",BusinessLine,2025-09-29T14:48:17Z,https://www.thehindubusinessline.com/markets/tata-capitals-pre-ipo-investors-receive-a-price-jolt/article70109667.ece,2025-09-30 23:07:29.308664
Final Bihar voter list to be published tomorrow; poll schedule announcement likely next week,"SynopsisBihar's final electoral roll will be published on Tuesday.
The Election Commission plans to announce the assembly poll schedule next week.
EC officials will visit Patna on October 4 and 5 for preparedness review.
The first phase of elections may occur after Chhath festival.
The current assembly term ends on November 22.",The Times of India,2025-09-29T14:46:02Z,https://economictimes.indiatimes.com/news/elections/assembly-elections/bihar/final-bihar-voter-list-to-be-published-tomorrow-poll-schedule-announcement-likely-next-week/articleshow/124215903.cms,2025-09-30 23:07:29.517418
MLB playoff breakout candidates: Eight players who could make a name for themselves this postseason,"Some, like David Freese and Andrew Miller, have used strong playoff runs to transcend ordinary regular-season careers.
With that in mind, below I've attempted the fool's errand of identifying eight plausible candidates (four per league) who could have a breakout postseason.
Do note that the players are presented in alphabetical order, and that I've made a point out of including players from across the popularity spectrum.
He's since made a quick ascent to the majors, appearing in 13 games as part of Cincinnati's playoff push.
Palencia's fastball averaged 99.6 mph this season and played even harder thanks to a deep release point that added approximately 0.8 mph.",CBS Sports,2025-09-29T14:45:19Z,https://www.cbssports.com/mlb/news/mlb-playoff-breakout-candidates-eight-players-who-could-make-a-name-for-themselves-this-postseason/,2025-09-30 23:07:29.857478
Here’s Why NVIDIA Corporation (NVDA) is on Detectors’ List of Baird Chautauqua International Growth Fund,"Chautauqua Capital Management, a division of Baird Asset Management, is a boutique investment firm that released its second quarter 2025 investor letter for the ""Baird Chautauqua International and Global Growth Fund"".
In this environment, the Baird Chautauqua International Growth Fund underperformed its benchmark during the quarter.
In its second-quarter 2025 investor letter, Baird Chautauqua International and Global Growth Fund highlighted stocks such as NVIDIA Corporation (NASDAQ:NVDA).
On September 26, 2025, NVIDIA Corporation (NASDAQ:NVDA) stock closed at $178.19 per share, with a market capitalization of $4.338 trillion.
Baird Chautauqua International and Global Growth Fund stated the following regarding NVIDIA Corporation (NASDAQ:NVDA) in its second quarter 2025 investor letter:""NVIDIA Corporation (NASDAQ:NVDA) reported first quarter results that were extremely solid.",Yahoo Entertainment,2025-09-29T14:44:32Z,https://finance.yahoo.com/news/why-nvidia-corporation-nvda-detectors-144432722.html,2025-09-30 23:07:30.664505
Video game maker Electronic Arts to be acquired for $52.5 billion in largest-ever private equity buyout,"Electronic Arts, maker of video games like “Madden NFL,” “Battlefield,” and “The Sims,” is being acquired for $52.5 billion in what could become the largest-ever buyout funded by private-equity firms.
The private equity firm Silver Lake Partners, Saudi Arabia’s sovereign wealth fund PIF, and Affinity Partners will pay EA’s stockholders $210 per share.
“The Saudi PIF has been a very active player in the video gaming market since 2022, taking minority stakes in most scaled public video gaming publishers, and also outright purchases of companies like ESL, FACEIT, and Scopely,” he wrote.
After Dell restructured its operations as a private company, it returned to the stock market with publicly traded shares in 2018.
Although its video games still have a fervent following, EA’s annual revenues have been stagnant during the past three fiscal years, hovering from $7.4 billion to $7.6 billion.",NBC News,2025-09-29T14:44:06Z,https://www.nbcnews.com/business/business-news/electronic-arts-acquired-largest-ever-private-equity-buyout-rcna234432,2025-09-30 23:07:31.620677
Here’s Why Regeneron Pharmaceuticals (REGN) Fell in Q2,"In its second-quarter 2025 investor letter, Baird Chautauqua International and Global Growth Fund highlighted stocks such as Regeneron Pharmaceuticals, Inc. (NASDAQ:REGN).
Regeneron Pharmaceuticals, Inc. (NASDAQ:REGN) is a biopharmaceutical company that discovers, invents, develops, manufactures, and commercializes medicines for treating various diseases.
The one-month return of Regeneron Pharmaceuticals, Inc. (NASDAQ:REGN) was -2.89%, and its shares lost 46.36% of their value over the last 52 weeks.
On September 26, 2025, Regeneron Pharmaceuticals, Inc. (NASDAQ:REGN) stock closed at $563.90 per share, with a market capitalization of $59.766 billion.
Why Regeneron Pharmaceuticals, Inc. (REGN) Crashed Last WeekRegeneron Pharmaceuticals, Inc. (NASDAQ:REGN) is not on our list of 30 Most Popular Stocks Among Hedge Funds.",Yahoo Entertainment,2025-09-29T14:43:14Z,https://finance.yahoo.com/news/why-regeneron-pharmaceuticals-regn-fell-144314931.html,2025-09-30 23:07:32.998427
BitMine Stock Climbs as Tom Lee's Firm Boosts Ethereum Holdings to $11 Billion,"BitMine Immersion Technologies stock rose Monday morning after the company announced that it purchased nearly $1 billion worth of Ethereum over the last week, pushing the valuation of its total ETH treasury to $11 billion.
The Ethereum treasury firm’s stock rose more than 6% to a recent…This story appeared on finance.yahoo.com , 2025-09-29 14:14:25.",Biztoc.com,2025-09-29T14:42:30Z,https://biztoc.com/x/9f161b561bd30e04,2025-09-30 23:07:33.406103
Amazon (NASDAQ: AMZN) Stock Price Prediction for 2025: Where Will It Be in 1 Year,"Shares of Amazon.com Inc. (NASDAQ:AMZN) lost 2.94% over the past five trading sessions after losing 1.56% the five prior.
The stock continues to struggle in the aftermath of tech’s early August sell-off that saw AMZN fall by nearly 10% in one day.
Still, the e-commerce and cloud storage…This story appeared on 247wallst.com , 2025-09-29 14:08:05.",Biztoc.com,2025-09-29T14:42:17Z,https://biztoc.com/x/fbd4120ba0f7fc8a,2025-09-30 23:07:33.799765
This High-Yield Stock Has Paid Dividends for Half a Century,"Of the stocks that pay large dividends, the safest is probably the tobacco company Altria Group Inc. (NYSE: MO).
Its 6.45% yield is based on a forward dividend of $4.24.
Over the past 56 years, it has raised its dividend 60 times.
The median age of Americans is 39 years.
24/7…This story appeared on 247wallst.com , 2025-09-29 13:45:54.",Biztoc.com,2025-09-29T14:42:15Z,https://biztoc.com/x/c30da188a789c48d,2025-09-30 23:07:34.227142
Nasdaq Opens Higher While Shutdown Looms,", 200); return false;"">Why is Electronic Arts being taken private for $55B? , 200); return false;"">How will a US govern… [+708 chars]",Biztoc.com,2025-09-29T14:42:05Z,https://biztoc.com/x/c956e31d8c6d93f3,2025-09-30 23:07:34.648987
Can Intel Stock Realistically Reach $43—or is That A Pipe Dream?,"It’s been some number of years since Intel (NASDAQ:INTC) stock was this hot after spiking more than 45% in the past month alone.
Since the July lows, the fallen semiconductor company has gained over 83%, and with recent investments from the likes of Nvidia (NASDAQ:NVDA) and the U.S.…This story appeared on 247wallst.com , 2025-09-29 14:16:55.",Biztoc.com,2025-09-29T14:42:03Z,https://biztoc.com/x/9d7796986265db5d,2025-09-30 23:07:35.022473
"Tesla (NASDAQ: TSLA) Bull, Base and Bear Price Prediction and Forecast","Shares of Tesla Inc. (NASDAQ:TSLA) gained 1.00% over the past five trading sessions after gaining 6.35% the prior five.
This recent rally has finally pushed the stock into the green on the year with an 17.16% gain.
Still, since hitting its all-time high on Dec. 17, 2024, the stock has…This story appeared on 247wallst.com , 2025-09-29 14:16:08.",Biztoc.com,2025-09-29T14:42:00Z,https://biztoc.com/x/c227d2682f72e0dc,2025-09-30 23:07:35.416656
SK Hynix is Up 96% in 2025: Is it Still A Top International Buy?,"In early January, 24/7 Wall St. selected South Korean memory producer SK Hynix (000660.KS) as one of our top picks for an AI stock that could double in 2025.
We singled out the stock for two primary reasons: it was cheap, and we believed SK Hynix could continue seeing astonishing growth…This story appeared on 247wallst.com , 2025-09-29 14:25:38.",Biztoc.com,2025-09-29T14:41:59Z,https://biztoc.com/x/053617e6f9e7fe68,2025-09-30 23:07:35.872810
Reminder - Air Products & Chemicals Goes Ex-Dividend Soon,"On 10/1/25, Air Products & Chemicals will trade ex-dividend, for its quarterly dividend of $1.79, payable on 11/10/25. As a percentage of APD's recent stock price of $266.78, this dividend works … [+1138 chars]",Forbes,2025-09-29T14:41:58Z,https://www.forbes.com/sites/dividendchannel/2025/09/29/reminderair-products--chemicals-goes-ex-dividend-soon/,2025-09-30 23:07:35.941827
